1,古代女子成年行什么礼？,<p>A:冠礼</p><p>B:笄礼</p>,2,B,B,4,1
1,仰韶文化是我国历史上哪个时代中期的文化？,<p>A:旧石器</p><p>B:新石器</p><p>C:青铜器</p><p>D:铁器</p>,4,B,B,4,2
1,世界上第一辆摩托车其主要材料是：,<p>A:塑料</p><p>B:木头</p><p>C:铁皮</p><p>D:自行车</p>,4,B,B,4,2
1,“腊八粥”最早起源于：,<p>A:祭祀</p><p>B:民间庆祝丰收的风俗</p><p>C:佛教</p>,3,C,C,4,2
1,中国古建筑学科的开拓者是：,<p>A:鲁班</p><p>B:梁思成</p><p>C:杨廷玉</p><p>D:童寓</p><p>E:吴良镛</p><p>F:刘敦桢</p>,6,B,B,4,3
1,我国是什么时候采用公历的？,<p>A:鸦片战争时期</p><p>B:辛亥革命时期</p><p>C:建国前夕</p><p>D:建国后</p>,4,C,C,4,2
1,“驸马”最初是指：,<p>A:给皇帝养马的人</p><p>B:官名</p><p>C:给皇帝牵马的人</p><p>D:马的名字</p>,4,B,B,4,2
1,古希腊哪个国家的儿童一出世就要受到严格挑选，体质弱的会被抛之荒野？,<p>A:雅典</p><p>B:斯巴达</p>,2,B,B,4,1
1,中国古代哪个学派的主张，与绿色和平组织的思想相近？,<p>A:儒家</p><p>B:法家</p><p>C:佛家</p><p>D:道家</p><p>E:阴阳</p>,5,D,D,4,3
1,在下列哪一年Internet网延伸入中国？,<p>A:93年</p><p>B:94年</p><p>C:95年</p><p>D:96年</p>,4,B,B,4,2
1,下列战役中，被陈毅元帅称作“人民群众用小车推出来的”是：,<p>A:淮海战役</p><p>B:平津战役</p><p>C:辽沈战役</p>,3,A,A,4,2
1,公元前594年，实行“初税亩”，按亩收税的国家是：,<p>A:楚国</p><p>B:鲁国</p><p>C:郑国</p><p>D:魏国</p>,4,B,B,4,2
1,以下哪一位曾被称为“药王”？ ,<p>A:孙思邈</p><p>B:张仲景</p><p>C:李时珍</p><p>D:扁鹊</p>,4,A,A,4,2
